Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
296.090000	294.660000	0.005224	0.000058	0.510123	86.710000	30230
296.080000	294.640000	0.005224	0.000058	0.510123	86.710000	30230
296.090000	294.640000	0.005223	0.000058	0.510123	86.710000	30230
296.070000	294.630000	0.005223	0.000059	0.510123	86.710000	30230
296.070000	294.620000	0.005223	0.000059	0.510123	86.710000	30230
296.060000	294.600000	0.005223	0.000059	0.510123	86.710000	30230
296.050000	294.600000	0.005223	0.000059	0.510123	86.710000	30230
296.040000	294.580000	0.005224	0.000060	0.510123	86.710000	30230
296.050000	294.570000	0.005224	0.000059	0.510123	86.710000	30230
296.030000	294.560000	0.005224	0.000059	0.510123	86.710000	30230
296.030000	294.550000	0.005225	0.000059	0.510123	86.710000	30230
296.020000	294.540000	0.005225	0.000059	0.510123	86.710000	30230
296.010000	294.530000	0.005225	0.000059	0.510123	86.710000	30230
296.010000	294.520000	0.005225	0.000059	0.510123	86.710000	30230
295.970000	294.510000	0.005225	0.000059	0.510123	86.710000	30230
295.990000	294.500000	0.005225	0.000058	0.510123	86.710000	30230
295.970000	294.490000	0.005225	0.000058	0.510123	86.710000	30230
295.980000	294.470000	0.005224	0.000058	0.510123	86.710000	30230
295.960000	294.470000	0.005224	0.000057	0.510123	86.710000	30230
295.950000	294.450000	0.005224	0.000057	0.510123	86.710000	30230
295.960000	294.440000	0.005225	0.000057	0.510123	86.710000	30230
295.950000	294.430000	0.005225	0.000057	0.510123	86.710000	30230
295.930000	294.420000	0.005225	0.000057	0.510123	86.710000	30230
295.940000	294.420000	0.005225	0.000057	0.510123	86.710000	30230
295.920000	294.410000	0.005224	0.000058	0.510123	86.710000	30230
295.910000	294.390000	0.005224	0.000058	0.510123	86.710000	30230
295.910000	294.380000	0.005224	0.000058	0.510123	86.710000	30230
295.890000	294.370000	0.005224	0.000058	0.510123	86.710000	30230
295.900000	294.360000	0.005224	0.000058	0.510123	86.710000	30230
295.880000	294.340000	0.005224	0.000058	0.510123	86.710000	30230
295.870000	294.340000	0.005224	0.000058	0.510123	86.710000	30230
295.870000	294.340000	0.005224	0.000058	0.510123	86.710000	30230
295.860000	294.310000	0.005225	0.000058	0.510123	86.710000	30230
295.860000	294.310000	0.005225	0.000058	0.510123	86.710000	30230
295.840000	294.300000	0.005225	0.000057	0.510123	86.710000	30230
295.840000	294.300000	0.005225	0.000057	0.510123	86.710000	30230
295.820000	294.280000	0.005226	0.000057	0.510123	86.710000	30230
295.830000	294.260000	0.005227	0.000057	0.510123	86.710000	30230
295.800000	294.250000	0.005227	0.000058	0.510123	86.710000	30230
295.800000	294.240000	0.005227	0.000058	0.510123	86.710000	30230
295.800000	294.230000	0.005227	0.000058	0.510123	86.710000	30230
295.800000	294.220000	0.005227	0.000058	0.510123	86.710000	30230
